tekst	korpus	tokeni	tipovi	recenice	duzina.recenice	leks.gust	ceste.reci	ceste.leme
srwac.cyr.00000051.txt.taglem	srwac.cyr	75	60	2	37.5	0.739130434783	0.275362318841	0.36231884058
srwac.cyr.00000005.txt.taglem	srwac.cyr	124	77	9	13.7777777778	0.801886792453	0.198113207547	0.339622641509
srwac.cyr.00000022.txt.taglem	srwac.cyr	202	125	7	28.8571428571	0.690909090909	0.327272727273	0.436363636364
srwac.cyr.00000014.txt.taglem	srwac.cyr	206	121	7	29.4285714286	0.717514124294	0.333333333333	0.378531073446
srwac.cyr.00000004.txt.taglem	srwac.cyr	231	131	7	33.0	0.643518518519	0.356481481481	0.425925925926
srwac.cyr.00000095.txt.taglem	srwac.cyr	116	88	4	29.0	0.707547169811	0.320754716981	0.415094339623
srwac.cyr.00000019.txt.taglem	srwac.cyr	382	252	6	63.6666666667	0.623906705539	0.355685131195	0.437317784257
srwac.cyr.00000097.txt.taglem	srwac.cyr	265	180	7	37.8571428571	0.632231404959	0.376033057851	0.442148760331
srwac.cyr.00000067.txt.taglem	srwac.cyr	571	368	16	35.6875	0.573440643863	0.400402414487	0.505030181087
srwac.cyr.00000008.txt.taglem	srwac.cyr	129	97	3	43.0	0.709090909091	0.3	0.372727272727
srwac.cyr.00000094.txt.taglem	srwac.cyr	49	45	2	24.5	0.666666666667	0.309523809524	0.404761904762
srwac.cyr.00000002.txt.taglem	srwac.cyr	131	101	5	26.2	0.6	0.416666666667	0.608333333333
srwac.cyr.00000045.txt.taglem	srwac.cyr	391	237	15	26.0666666667	0.689655172414	0.330459770115	0.433908045977
srwac.cyr.00000013.txt.taglem	srwac.cyr	106	79	5	21.2	0.54347826087	0.5	0.652173913043
srwac.cyr.00000024.txt.taglem	srwac.cyr	284	169	9	31.5555555556	0.660231660232	0.362934362934	0.498069498069
srwac.cyr.00000093.txt.taglem	srwac.cyr	547	330	32	17.09375	0.587525150905	0.408450704225	0.569416498994
srwac.cyr.00000034.txt.taglem	srwac.cyr	301	187	16	18.8125	0.518939393939	0.465909090909	0.537878787879
srwac.cyr.00000052.txt.taglem	srwac.cyr	144	97	4	36.0	0.58064516129	0.403225806452	0.516129032258
srwac.cyr.00000053.txt.taglem	srwac.cyr	150	85	9	16.6666666667	0.718518518519	0.296296296296	0.392592592593
srwac.cyr.00000062.txt.taglem	srwac.cyr	68	56	4	17.0	0.639344262295	0.327868852459	0.393442622951
srwac.cyr.00000047.txt.taglem	srwac.cyr	99	76	2	49.5	0.670588235294	0.317647058824	0.4
srwac.cyr.00000040.txt.taglem	srwac.cyr	128	97	6	21.3333333333	0.675675675676	0.306306306306	0.396396396396
srwac.cyr.00000092.txt.taglem	srwac.cyr	55	48	3	18.3333333333	0.770833333333	0.270833333333	0.354166666667
srwac.cyr.00000054.txt.taglem	srwac.cyr	258	167	8	32.25	0.737068965517	0.306034482759	0.35775862069
srwac.cyr.00000085.txt.taglem	srwac.cyr	62	46	3	20.6666666667	0.618181818182	0.472727272727	0.563636363636
srwac.cyr.00000077.txt.taglem	srwac.cyr	107	80	5	21.4	0.645833333333	0.375	0.447916666667
