tekst	korpus	tokeni	tipovi	recenice	duzina.recenice	leks.gust	ceste.reci	ceste.leme
hrwac.00000036.txt.taglem	hrwac	471	285	17	27.7058823529	0.690821256039	0.311594202899	0.367149758454
hrwac.00000067.txt.taglem	hrwac	158	113	5	31.6	0.638461538462	0.353846153846	0.446153846154
hrwac.00000008.txt.taglem	hrwac	137	101	6	22.8333333333	0.686440677966	0.338983050847	0.423728813559
hrwac.00000094.txt.taglem	hrwac	86	69	3	28.6666666667	0.728395061728	0.308641975309	0.382716049383
hrwac.00000002.txt.taglem	hrwac	215	154	9	23.8888888889	0.663101604278	0.326203208556	0.438502673797
hrwac.00000045.txt.taglem	hrwac	497	315	29	17.1379310345	0.655011655012	0.340326340326	0.414918414918
hrwac.00000013.txt.taglem	hrwac	202	125	7	28.8571428571	0.650273224044	0.387978142077	0.502732240437
hrwac.00000024.txt.taglem	hrwac	142	109	12	11.8333333333	0.56	0.352	0.448
hrwac.00000098.txt.taglem	hrwac	50	40	3	16.6666666667	0.522727272727	0.477272727273	0.477272727273
hrwac.00000020.txt.taglem	hrwac	387	261	9	43.0	0.660766961652	0.318584070796	0.389380530973
hrwac.00000093.txt.taglem	hrwac	65	48	3	21.6666666667	0.709090909091	0.254545454545	0.309090909091
hrwac.00000034.txt.taglem	hrwac	425	255	27	15.7407407407	0.520833333333	0.424479166667	0.5625
hrwac.00000052.txt.taglem	hrwac	77	65	3	25.6666666667	0.793650793651	0.31746031746	0.380952380952
hrwac.00000053.txt.taglem	hrwac	149	107	5	29.8	0.518248175182	0.423357664234	0.518248175182
hrwac.00000062.txt.taglem	hrwac	368	247	6	61.3333333333	0.780487804878	0.268292682927	0.34756097561
hrwac.00000047.txt.taglem	hrwac	425	205	14	30.3571428571	0.626315789474	0.421052631579	0.460526315789
hrwac.00000040.txt.taglem	hrwac	219	131	11	19.9090909091	0.631313131313	0.363636363636	0.459595959596
hrwac.00000092.txt.taglem	hrwac	249	163	5	49.8	0.665198237885	0.334801762115	0.440528634361
hrwac.00000054.txt.taglem	hrwac	391	236	18	21.7222222222	0.60989010989	0.395604395604	0.489010989011
hrwac.00000077.txt.taglem	hrwac	77	58	3	25.6666666667	0.718309859155	0.338028169014	0.338028169014
