tekst	korpus	reci	duzina.reci	infinitivi	trebati	da	imen.glag	duzina.reci.2
srwac.cyr.00000056.txt.taglem	srwac.cyr	568	4.97007042254	0.342857142857	0.0	0.0	0.879310344828	1
srwac.cyr.00000026.txt.taglem	srwac.cyr	318	5.80817610063	0.176470588235	0.0	1.88679245283e-06	0.793939393939	4
srwac.cyr.00000073.txt.taglem	srwac.cyr	237	5.61603375527	0.0	0.0	1.68776371308e-06	0.747899159664	4
srwac.cyr.00000007.txt.taglem	srwac.cyr	633	5.47709320695	0.0212765957447	0.0	4.2654028436e-06	0.695792880259	3
srwac.cyr.00000027.txt.taglem	srwac.cyr	602	5.32225913621	0.184210526316	0.5	3.1561461794e-06	0.601398601399	2
srwac.cyr.00000017.txt.taglem	srwac.cyr	422	5.71800947867	0.0	0.0	1.42180094787e-06	0.774891774892	4
srwac.cyr.00000051.txt.taglem	srwac.cyr	264	6.01136363636	0.046511627907	1.0	1.89393939394e-06	0.695035460993	5
srwac.cyr.00000055.txt.taglem	srwac.cyr	332	5.86144578313	0.0208333333333	0.0	1.80722891566e-06	0.744680851064	4
srwac.cyr.00000005.txt.taglem	srwac.cyr	129	6.38759689922	0.142857142857	0.0	0.0	0.898550724638	5
srwac.cyr.00000022.txt.taglem	srwac.cyr	1036	5.28088803089	0.0142180094787	0.0	2.22007722008e-06	0.637457044674	2
srwac.cyr.00000014.txt.taglem	srwac.cyr	306	5.13725490196	0.0967741935484	0.0	6.53594771242e-07	0.783216783217	2
srwac.cyr.00000004.txt.taglem	srwac.cyr	157	4.88535031847	0.025641025641	0.0	7.64331210191e-06	0.524390243902	1
srwac.cyr.00000095.txt.taglem	srwac.cyr	553	5.53345388788	0.0693069306931	0.0	1.98915009042e-06	0.689230769231	3
srwac.cyr.00000019.txt.taglem	srwac.cyr	664	5.28765060241	0.127272727273	0.571428571429	3.16265060241e-06	0.657320872274	2
srwac.cyr.00000097.txt.taglem	srwac.cyr	294	6.59183673469	0.0	0.0	0.0	0.92	5
srwac.cyr.00000036.txt.taglem	srwac.cyr	987	5.90678824721	0.0434782608696	0.0	1.01317122594e-06	0.867562380038	4
srwac.cyr.00000067.txt.taglem	srwac.cyr	638	5.20846394984	0.0526315789474	0.0	9.40438871473e-07	0.6875	2
srwac.cyr.00000008.txt.taglem	srwac.cyr	364	5.99450549451	0.272727272727	0.0	1.0989010989e-06	0.787439613527	5
srwac.cyr.00000094.txt.taglem	srwac.cyr	342	6.61695906433	0.375	0.0	5.84795321637e-07	0.80487804878	5
srwac.cyr.00000002.txt.taglem	srwac.cyr	685	6.02773722628	0.0793650793651	1.0	1.02189781022e-06	0.833773087071	5
srwac.cyr.00000045.txt.taglem	srwac.cyr	300	5.15666666667	0.0555555555556	0.0	3.33333333333e-07	0.790697674419	2
srwac.cyr.00000013.txt.taglem	srwac.cyr	3298	5.95755003032	0.0371900826446	0.0	7.27713765919e-07	0.714454277286	4
srwac.cyr.00000024.txt.taglem	srwac.cyr	353	5.43909348442	0.170212765957	1.0	2.54957507082e-06	0.723529411765	3
srwac.cyr.00000098.txt.taglem	srwac.cyr	675	4.7437037037	0.0686274509804	0.0	2.51851851852e-06	0.689024390244	1
srwac.cyr.00000020.txt.taglem	srwac.cyr	651	6.74961597542	0.0	0.0	0.0	0.945945945946	5
srwac.cyr.00000093.txt.taglem	srwac.cyr	4545	5.33113311331	0.0812854442344	1.0	9.46094609461e-07	0.777263157895	2
srwac.cyr.00000034.txt.taglem	srwac.cyr	282	5.56028368794	0.15625	0.0	1.41843971631e-06	0.798742138365	3
srwac.cyr.00000052.txt.taglem	srwac.cyr	311	5.53054662379	0.0	0.0	0.0	0.818181818182	3
srwac.cyr.00000053.txt.taglem	srwac.cyr	1104	4.49365942029	0.0904977375566	1.0	1.35869565217e-06	0.589981447124	1
srwac.cyr.00000062.txt.taglem	srwac.cyr	390	5.22307692308	0.0655737704918	0.0	1.79487179487e-06	0.677248677249	2
srwac.cyr.00000047.txt.taglem	srwac.cyr	561	4.96613190731	0.036036036036	0.0	2.85204991087e-06	0.633663366337	1
srwac.cyr.00000040.txt.taglem	srwac.cyr	556	5.53057553957	0.075	0.0	1.97841726619e-06	0.699248120301	3
srwac.cyr.00000092.txt.taglem	srwac.cyr	948	4.76371308017	0.0	0.0	0.0	0.991176470588	1
srwac.cyr.00000054.txt.taglem	srwac.cyr	165	5.47878787879	0.0454545454545	0.0	1.21212121212e-06	0.714285714286	3
srwac.cyr.00000085.txt.taglem	srwac.cyr	195	5.97435897436	0.241379310345	0.0	3.58974358974e-06	0.736363636364	5
srwac.cyr.00000077.txt.taglem	srwac.cyr	116	4.81034482759	0.0	0.0	2.58620689655e-06	0.515625	1
